ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
1.704670,0.565030,-8.599970,0.213053,-0.171508,-1.089766,59.180000,122.715000,-160.828000,0.010000
1.757340,0.608130,-8.858550,0.162985,-0.029827,-1.134507,59.180000,122.715000,-160.828000,0.010000
1.709460,0.579400,-9.121910,0.214118,0.140615,-1.107875,57.996000,116.758000,-164.250000,0.010000
1.963250,0.392650,-9.141060,0.316384,0.229032,-1.103614,57.996000,116.758000,-164.250000,0.010000
2.231400,0.383070,-9.433160,0.384560,0.257794,-1.114267,57.996000,116.758000,-164.250000,0.010000
2.226610,0.440530,-9.500190,0.387756,0.233293,-1.115332,57.996000,116.758000,-164.250000,0.010000
2.217030,0.507570,-9.030930,0.367516,0.119310,-1.110005,57.996000,116.758000,-164.250000,0.010000
2.044650,0.612920,-9.074020,0.341950,0.115049,-1.100418,57.996000,116.758000,-164.250000,0.010000
1.800440,0.641650,-9.078810,0.254598,0.023436,-1.106810,57.996000,116.758000,-164.250000,0.010000
1.838750,0.689530,-9.433160,0.210922,-0.059655,-1.106810,57.996000,116.758000,-164.250000,0.010000
1.824380,0.651220,-9.361330,0.157659,0.029827,-1.135572,57.996000,116.758000,-164.250000,0.010000
1.810020,0.598550,-9.543290,0.230097,0.103331,-1.117462,57.996000,116.758000,-164.250000,0.010000
1.862690,0.464480,-9.495400,0.299339,0.142745,-1.092961,57.996000,116.758000,-164.250000,0.010000
2.011130,0.469260,-9.366120,0.438889,0.252468,-1.049285,57.996000,116.758000,-164.250000,0.010000
1.891420,0.397440,-9.265560,0.485761,0.254598,-1.014132,57.996000,116.758000,-164.250000,0.010000
2.030280,0.363920,-9.078810,0.453803,0.103331,-0.980043,52.078000,116.758000,-164.250000,0.010000
2.102110,0.272940,-9.021350,0.402670,0.058590,-0.992826,52.078000,116.758000,-164.250000,0.010000
1.901000,0.469260,-8.839390,0.339819,0.083091,-0.980043,52.078000,116.758000,-164.250000,0.010000
1.642420,0.555450,-8.896850,0.237554,0.056459,-0.949151,52.078000,116.758000,-164.250000,0.010000
1.561020,0.598550,-9.145850,0.221575,0.095874,-0.919323,52.078000,116.758000,-164.250000,0.010000
1.546650,0.588970,-9.150640,0.270577,0.213053,-0.899083,52.078000,116.758000,-164.250000,0.010000
1.441310,0.531510,-8.939950,0.315318,0.233293,-0.876713,52.078000,116.758000,-164.250000,0.010000
1.484410,0.679950,-9.059660,0.324906,0.121440,-0.810666,52.078000,116.758000,-164.250000,0.010000
1.647210,0.569820,-9.126700,0.318514,0.096939,-0.771251,52.078000,116.758000,-164.250000,0.010000
1.714250,0.541090,-8.815450,0.307861,0.060720,-0.713727,52.078000,116.758000,-164.250000,0.010000
1.747770,0.469260,-8.820240,0.284426,-0.006392,-0.628506,52.078000,116.758000,-164.250000,0.010000
1.661580,0.459690,-9.145850,0.333428,-0.046872,-0.583765,52.078000,116.758000,-164.250000,0.010000
1.532290,0.469260,-9.217680,0.406931,0.042611,-0.557133,52.078000,116.758000,-164.250000,0.010000
1.570600,0.560240,-9.150640,0.452737,0.133158,-0.526241,52.078000,116.758000,-164.250000,0.010000
1.637630,0.402230,-8.987830,0.469782,0.113983,-0.531567,52.078000,116.758000,-164.250000,0.010000
1.752560,0.196320,-9.179370,0.469782,0.167247,-0.579504,52.078000,116.758000,-164.250000,0.010000
1.786070,0.105340,-9.102750,0.466586,0.226901,-0.673247,52.078000,116.758000,-164.250000,0.010000
1.848320,0.239420,-9.088390,0.377104,0.241815,-0.747816,52.078000,116.758000,-164.250000,0.010000
1.848320,0.344770,-8.916010,0.276969,0.241815,-0.771251,52.078000,116.758000,-164.250000,0.010000
1.680730,0.296880,-8.896850,0.162985,0.192813,-0.802144,52.078000,116.758000,-164.250000,0.010000
1.757340,0.397440,-9.064450,0.079895,0.194943,-0.858603,52.078000,116.758000,-164.250000,0.010000
1.580170,0.330400,-9.284710,0.037284,0.262055,-0.931041,52.078000,116.758000,-164.250000,0.010000
1.714250,0.397440,-9.174580,0.017044,0.296144,-0.874582,52.078000,116.758000,-164.250000,0.010000
1.412580,0.536300,-9.074020,0.038350,0.297209,-0.863929,52.078000,116.758000,-164.250000,0.010000
1.359910,0.392650,-8.992620,0.043676,0.294013,-0.838363,52.078000,116.758000,-164.250000,0.010000
1.312020,0.502780,-9.040510,-0.035154,0.231162,-0.843689,50.895000,117.949000,-164.250000,0.010000
1.446100,0.239420,-9.217680,-0.026632,0.241815,-0.833037,50.895000,117.949000,-164.250000,0.010000
1.412580,0.397440,-9.150640,-0.039415,0.238619,-0.809601,50.895000,117.949000,-164.250000,0.010000
1.460460,0.201110,-9.212890,-0.061785,0.151268,-0.756338,50.895000,117.949000,-164.250000,0.010000
1.264140,0.225050,-9.481040,0.030893,0.106526,-0.744620,50.895000,117.949000,-164.250000,0.010000
1.192310,0.186750,-9.289500,0.082025,0.087352,-0.719054,50.895000,117.949000,-164.250000,0.010000
1.561020,-0.215480,-9.236830,0.157659,0.102265,-0.775513,50.895000,117.949000,-164.250000,0.010000
1.283290,-0.100560,-9.131480,0.177899,0.134223,-0.820254,50.895000,117.949000,-164.250000,0.010000
1.340750,0.047880,-9.035720,0.154463,0.109722,-0.834102,50.895000,117.949000,-164.250000,0.010000
1.283290,-0.215480,-9.165000,0.121440,0.112918,-0.907605,50.895000,117.949000,-164.250000,0.010000
1.316810,0.181960,-9.078810,0.093743,0.139550,-0.819188,50.895000,117.949000,-164.250000,0.010000
1.379060,-0.129290,-9.433160,0.078830,0.171508,-0.833037,50.895000,117.949000,-164.250000,0.010000
1.374270,-0.158020,-9.145850,0.017044,0.071373,-0.827710,50.895000,117.949000,-164.250000,0.010000
1.484410,-0.440530,-9.418790,0.036219,0.104396,-0.867125,49.711000,117.949000,-161.969000,0.010000
1.230620,-0.004790,-9.327810,0.059655,0.177899,-0.821319,49.711000,117.949000,-161.969000,0.010000
1.177950,-0.067040,-9.409210,0.138484,0.266316,-0.815993,49.711000,117.949000,-161.969000,0.010000
1.173160,0.023940,-9.351750,0.236489,0.351537,-0.782969,49.711000,117.949000,-161.969000,0.010000
1.197100,-0.114920,-9.366120,0.305731,0.322775,-0.773382,49.711000,117.949000,-161.969000,0.010000
1.259350,-0.191540,-9.088390,0.355798,0.350472,-0.769121,49.711000,117.949000,-161.969000,0.010000
1.096540,-0.081400,-9.050080,0.396278,0.313188,-0.764860,49.711000,117.949000,-161.969000,0.010000
1.115700,-0.143650,-9.193730,0.426106,0.377104,-0.759534,49.711000,117.949000,-161.969000,0.010000
0.962470,0.004790,-9.241620,0.478304,0.361125,-0.756338,49.711000,117.949000,-161.969000,0.010000
0.809240,-0.043100,-9.112330,0.472977,0.309992,-0.742489,49.711000,117.949000,-161.969000,0.010000
0.679950,0.019150,-9.006990,0.421845,0.224771,-0.704140,49.711000,117.949000,-161.969000,0.010000
0.828390,-0.009580,-9.059660,0.360059,0.154463,-0.644485,49.711000,117.949000,-161.969000,0.010000
0.857120,-0.009580,-9.255980,0.341950,0.168312,-0.635963,49.711000,117.949000,-161.969000,0.010000
